"Author","nPapers","Rate","Multidisciplinary","BiodivCons","FieldEcology","Ecology","Macroecology"
"z4oGroQAAAAJ&hl",20,2.28571428571429,0.15,0.1,0.2,0.6,0.15
"ucuhJe8AAAAJ&hl",12,1.66666666666667,0.0833333333333333,0.333333333333333,0.25,0.666666666666667,0
"1_P3xw4AAAAJ&hl",5,0.666666666666667,0,0,0.6,0.6,0
"5V7lrHYAAAAJ&hl",18,4.33333333333333,0,0.333333333333333,0.277777777777778,0.722222222222222,0.277777777777778
"_caizikAAAAJ&hl",15,1.83333333333333,0.0666666666666667,0.133333333333333,0.466666666666667,0.733333333333333,0.266666666666667
"KaOFSVcAAAAJ&hl",11,2,0.0909090909090909,0,0.363636363636364,0.545454545454545,0
"MghN_-YAAAAJ&hl",34,4.66666666666667,0.117647058823529,0.0588235294117647,0.441176470588235,0.5,0
"SbDASvYAAAAJ&hl",17,2.5,0,0,0.764705882352941,0.352941176470588,0
"M41dOCcAAAAJ&hl",20,2.14285714285714,0.1,0.2,0.15,0.7,0.15
"ysyBXvUAAAAJ&hl",6,1,0,0,0.5,0.5,0.166666666666667
"-eJ_utgAAAAJ&hl",43,5.66666666666667,0.0465116279069767,0.0697674418604651,0.372093023255814,0.534883720930233,0.0232558139534884
"_o_aaSMAAAAJ&hl",14,2.5,0.285714285714286,0,0.142857142857143,0.285714285714286,0
"FdCgdS4AAAAJ&hl",9,1.33333333333333,0,0.222222222222222,0.444444444444444,0.666666666666667,0
"Du21jO8AAAAJ&hl",22,2.57142857142857,0.136363636363636,0.272727272727273,0.272727272727273,0.636363636363636,0.0909090909090909
"8z4QEFYAAAAJ&hl",17,2.4,0,0.176470588235294,0.294117647058824,0.705882352941177,0
"tmtkNmsAAAAJ&hl",5,0.666666666666667,0.2,0.2,0.4,0.4,0
"dYv4HKsAAAAJ&hl",58,8.4,0.0344827586206897,0.241379310344828,0.103448275862069,0.827586206896552,0.413793103448276
"nSsQgHkAAAAJ&hl",18,3,0.0555555555555556,0.111111111111111,0.166666666666667,0.944444444444444,0
"X_ovJR8AAAAJ&hl",14,1.66666666666667,0,0.142857142857143,0.571428571428571,0.571428571428571,0.0714285714285714
"J_EnuQEAAAAJ&hl",8,0.666666666666667,0.125,0,0.125,0.375,0.125
"tWpt1cwAAAAJ&hl",9,2,0.111111111111111,0.111111111111111,0.333333333333333,0.777777777777778,0.111111111111111
"1RyzT84AAAAJ&hl",21,2.14285714285714,0.142857142857143,0.0476190476190476,0.571428571428571,0.333333333333333,0
"tNdb_iYAAAAJ&hl",5,1,0,0,0.6,0.2,0
"uQs5t1sAAAAJ&hl",16,1.85714285714286,0,0.125,0.25,0.6875,0
"B5aE6ukAAAAJ&hl",17,2.16666666666667,0,0,0.529411764705882,0.411764705882353,0
"XIaSoXMAAAAJ&hl",12,1.33333333333333,0.25,0.166666666666667,0.25,0.333333333333333,0.166666666666667
"JZHsDo4AAAAJ&hl",12,2.25,0.0833333333333333,0.166666666666667,0.666666666666667,0.0833333333333333,0
"KliX4qIAAAAJ&hl",9,1.4,0.111111111111111,0,0.111111111111111,0.888888888888889,0
"Z88apr4AAAAJ&hl",7,2,0.285714285714286,0.285714285714286,0.142857142857143,0.714285714285714,0.285714285714286
"D6x_ZJsAAAAJ&hl",19,2.42857142857143,0,0.526315789473684,0.157894736842105,0.736842105263158,0.263157894736842
"zCGTqlcAAAAJ&hl",15,2.4,0.0666666666666667,0.0666666666666667,0.6,0.133333333333333,0
"wS2Mv7EAAAAJ&hl",17,2.14285714285714,0.117647058823529,0,0.647058823529412,0.294117647058824,0
"m9CcQ8wAAAAJ&hl",38,3.83333333333333,0.0789473684210526,0.0263157894736842,0.763157894736842,0.157894736842105,0
"N9VkCNIAAAAJ&hl",19,2.66666666666667,0.157894736842105,0.421052631578947,0.315789473684211,0.526315789473684,0.105263157894737
"8LBRGnkAAAAJ&hl",37,4.28571428571429,0.027027027027027,0.135135135135135,0.378378378378378,0.702702702702703,0.216216216216216
"EtlTWcUAAAAJ&hl",23,3,0.0434782608695652,0.173913043478261,0.391304347826087,0.608695652173913,0.0869565217391304
"uc3J0UgAAAAJ&hl",56,6.42857142857143,0.0357142857142857,0.0714285714285714,0.375,0.464285714285714,0.0714285714285714
"C8PLGB0AAAAJ&hl",22,3,0.0909090909090909,0.227272727272727,0.227272727272727,0.727272727272727,0.318181818181818
"-pyqx1wAAAAJ&hl",9,0.857142857142857,0,0.666666666666667,0,1,0
"sYd_i_gAAAAJ&hl",5,1,0.2,0.2,0.4,0.6,0
"66QY6EMAAAAJ&hl",7,1.66666666666667,0,0,0.857142857142857,0.142857142857143,0
"LAiNxVgAAAAJ&hl",20,4.66666666666667,0.2,0,0.4,0.45,0
"X419fPAAAAAJ&hl",23,3,0.217391304347826,0,0.478260869565217,0.434782608695652,0.0869565217391304
"iFgrKN4AAAAJ&hl",31,3.42857142857143,0.0645161290322581,0.129032258064516,0.354838709677419,0.580645161290323,0.129032258064516
"byNDozwAAAAJ&hl",5,1,0,0,0.2,1,0
"t5AYc1IAAAAJ&hl",14,2,0.0714285714285714,0.214285714285714,0.357142857142857,0.357142857142857,0
"txltLeYAAAAJ&hl",16,2.4,0.125,0.125,0.125,0.5,0.125
"PMpkVqMAAAAJ&hl",34,6.66666666666667,0.0588235294117647,0.117647058823529,0.705882352941177,0.235294117647059,0.0588235294117647
"YUYJ0w8AAAAJ&hl",15,1.71428571428571,0,0,0.866666666666667,0,0
"cgsdRFUAAAAJ&hl",18,3,0,0.166666666666667,0.722222222222222,0.222222222222222,0
"2k55mD0AAAAJ&hl",11,2.33333333333333,0,0.181818181818182,0.0909090909090909,0.454545454545455,0
"Ed_EauIAAAAJ&hl",13,3.33333333333333,0,0.384615384615385,0.615384615384615,0.307692307692308,0
"3jfv6sgAAAAJ&hl",4,1,0,0,1,0,0
"-fZ3fngAAAAJ&hl",10,1.16666666666667,0.1,0.2,0.6,0.2,0.1
"WFtf7wYAAAAJ&hl",29,2.85714285714286,0.103448275862069,0.137931034482759,0.448275862068966,0.275862068965517,0.0689655172413793
"gEnn8pMAAAAJ&hl",5,1,0.2,0,0.6,0,0
"_m1pUg8AAAAJ&hl",14,3,0,0,0.428571428571429,0.5,0.0714285714285714
"-r8V0ywAAAAJ&hl",5,1,0,0,0.8,0,0
"bH6NwYoAAAAJ&hl",26,4,0.153846153846154,0.0769230769230769,0.461538461538462,0.461538461538462,0.153846153846154
"bHgMuhIAAAAJ&hl",10,2.33333333333333,0,0,0.3,0,0
"fS7T34kAAAAJ&hl",9,1.75,0,0,1,0,0
"cdUuJBkAAAAJ&hl",15,3,0.333333333333333,0,0.0666666666666667,0.466666666666667,0.0666666666666667
"QHtatDwAAAAJ&hl",13,3.66666666666667,0,0,0.615384615384615,0.153846153846154,0
"3THekVAAAAAJ&hl",13,2.5,0,0.230769230769231,0.769230769230769,0.230769230769231,0
"5QxtQ6wAAAAJ&hl",11,2,0,0.363636363636364,0.545454545454545,0.727272727272727,0
"vNqO-NAAAAAJ&hl",8,1.66666666666667,0,0,1,0.125,0
"X3QIRRIAAAAJ&hl",4,0.5,0,0,1,0,0
"Hn8D8swAAAAJ&hl",15,2.4,0,0.133333333333333,0.733333333333333,0.266666666666667,0.0666666666666667
"xV7bUwUAAAAJ&hl",8,1,0.125,0,0.625,0.375,0
"jEC3YEAAAAAJ&hl",11,1.14285714285714,0,0,1,0.0909090909090909,0
"75wnkgsAAAAJ&hl",7,1,0,0,0.857142857142857,0.285714285714286,0
"vXYrNiIAAAAJ&hl",17,2.8,0.176470588235294,0.294117647058824,0.294117647058824,0.470588235294118,0.117647058823529
"8Wj9wQgAAAAJ&hl",13,2,0.0769230769230769,0,0.538461538461538,0.461538461538462,0
"ChlxRoEAAAAJ&hl",4,0.4,0.75,0,0.25,0,0
"AYPgZQ8AAAAJ&hl",23,3,0.0869565217391304,0.260869565217391,0.217391304347826,0.608695652173913,0.0434782608695652
"gdIwZokAAAAJ&hl",7,1.5,0.142857142857143,0,0.285714285714286,0.714285714285714,0
"dyBEUd4AAAAJ&hl",13,2,0.230769230769231,0.0769230769230769,0.0769230769230769,0.769230769230769,0
"G7z9Td4AAAAJ&hl",25,2.57142857142857,0,0,0.44,0.68,0
"Bky6h2cAAAAJ&hl",16,2,0,0.3125,0.3125,0.8125,0
"OyBt23oAAAAJ&hl",29,3,0.103448275862069,0,0.0344827586206897,0.827586206896552,0
"HKWOie8AAAAJ&hl",8,2,0,0.25,0.25,0.75,0.25
"iIRBy3cAAAAJ&hl",16,1.71428571428571,0,0,0.625,0.3125,0
"obESeFMAAAAJ&hl",30,3.71428571428571,0.2,0,0.133333333333333,0.733333333333333,0
"tN8PfAYAAAAJ&hl",6,1.5,0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.166666666666667
"_5kF8dwAAAAJ&hl",13,3,0.0769230769230769,0.0769230769230769,0,0.923076923076923,0.0769230769230769
"RLlyuywAAAAJ&hl",15,3.25,0.2,0,0.133333333333333,0.733333333333333,0
"dRCAzi0AAAAJ&hl",17,1.71428571428571,0,0,0.117647058823529,0.941176470588235,0
"4Mkup2IAAAAJ&hl",17,3.75,0.235294117647059,0.176470588235294,0.0588235294117647,0.764705882352941,0.117647058823529
"JxEcQBsAAAAJ&hl",9,1,0,0.111111111111111,0.666666666666667,0.666666666666667,0
"L1TAZTQAAAAJ&hl",8,0.857142857142857,0,0.125,0.125,0.75,0
"Cet2QJcAAAAJ&hl",22,2.66666666666667,0.0454545454545455,0.0454545454545455,0.772727272727273,0.318181818181818,0.0454545454545455
"LZcqLNAAAAAJ&hl",9,1.4,0,0,0.222222222222222,1,0
"94sNcTAAAAAJ&hl",8,2,0,0.625,0.125,0.875,0.375
"wkth8GgAAAAJ&hl",15,1.71428571428571,0,0.0666666666666667,0.8,0.266666666666667,0.0666666666666667
"HB_gRPgAAAAJ&hl",18,2.16666666666667,0.0555555555555556,0,0.111111111111111,0.777777777777778,0
"hrS_LA0AAAAJ&hl",12,2.66666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.833333333333333,0.0833333333333333
"_peRiXoAAAAJ&hl",12,2,0.25,0,0.25,0.333333333333333,0
"5qOogLUAAAAJ&hl",11,2,0.0909090909090909,0.181818181818182,0.181818181818182,0.363636363636364,0.0909090909090909
"xjRjae4AAAAJ&hl",11,1.33333333333333,0.181818181818182,0,0.545454545454545,0.545454545454545,0
"hHFWDGMAAAAJ&hl",19,2.8,0.157894736842105,0.105263157894737,0.263157894736842,0.315789473684211,0.105263157894737
"PEw-C7MAAAAJ&hl",15,1.83333333333333,0.0666666666666667,0,0.266666666666667,0.533333333333333,0
"5SwesFIAAAAJ&hl",13,2,0.0769230769230769,0,0.153846153846154,0.692307692307692,0
"lTtUM5EAAAAJ&hl",5,1.5,0,0,0.6,0,0
"kKsb48YAAAAJ&hl",50,9,0.12,0,0.76,0.12,0
"sRFFlPAAAAAJ&hl",9,0.857142857142857,0.333333333333333,0.111111111111111,0.222222222222222,0.555555555555556,0.333333333333333
"HYaFwc0AAAAJ&hl",15,3.33333333333333,0.266666666666667,0.0666666666666667,0.666666666666667,0.133333333333333,0
"KPzMiwoAAAAJ&hl",4,1,0,0,0.25,0.75,0
"CPZDmakAAAAJ&hl",13,7,0.153846153846154,0,0.538461538461538,0.384615384615385,0
"kbOVef0AAAAJ&hl",38,6,0.131578947368421,0.0526315789473684,0.526315789473684,0.131578947368421,0.0263157894736842
"StPBuMEAAAAJ&hl",21,2.71428571428571,0.0476190476190476,0.0476190476190476,0.619047619047619,0.238095238095238,0
"ZjBauSkAAAAJ&hl",8,0.571428571428571,0.375,0,0.375,0.125,0
"K69KGVMAAAAJ&hl",24,3.16666666666667,0.0416666666666667,0,0.666666666666667,0.291666666666667,0
"dPkHXWsAAAAJ&hl",16,1.57142857142857,0.375,0.4375,0,0.5625,0.25
"BMuIQ3MAAAAJ&hl",9,1,0,0,0.444444444444444,0.222222222222222,0
"nLKMxMcAAAAJ&hl",8,1.33333333333333,0.25,0.375,0.125,0.375,0
"gk_Mr94AAAAJ&hl",6,2,0.166666666666667,0.666666666666667,0,0.666666666666667,0.5
"Z0V2LdMAAAAJ&hl",5,0.75,0,0.2,0.2,0.8,0.2
"ooyvqqcAAAAJ&hl",3,1,0,0,0.666666666666667,0.333333333333333,0
"fnUy2EMAAAAJ&hl",19,1.85714285714286,0.0526315789473684,0.210526315789474,0.578947368421053,0.473684210526316,0.0526315789473684
"E1G-HLsAAAAJ&hl",11,1.2,0,0.272727272727273,0.454545454545455,0.545454545454545,0.0909090909090909
"qGgPfaoAAAAJ&hl",8,1.2,0,0,0.5,0.625,0
"ABf8W9oAAAAJ&hl",11,2,0,0.181818181818182,0.0909090909090909,0.909090909090909,0.0909090909090909
"N9Ryd6IAAAAJ&hl",30,3,0.2,0.1,0.2,0.6,0.2
"FSuNjJUAAAAJ&hl",8,1,0.125,0.125,0.375,0.625,0
"ta3eJYsAAAAJ&hl",24,2.28571428571429,0.166666666666667,0,0.5,0.208333333333333,0.0833333333333333
"rc7f1e0AAAAJ&hl",12,1.6,0.0833333333333333,0,0.416666666666667,0.5,0
"zVLjRqEAAAAJ&hl",13,2,0.230769230769231,0,0.384615384615385,0.384615384615385,0
"n80B1L4AAAAJ&hl",13,1.8,0.230769230769231,0.153846153846154,0.307692307692308,0.692307692307692,0
"M3sY_coAAAAJ&hl",5,0.428571428571429,0,0,0.6,0.4,0
"N0wlGBkAAAAJ&hl",4,0.5,0,0,0.5,0.25,0
"hQtP-N0AAAAJ&hl",14,2.5,0.142857142857143,0,0.428571428571429,0.428571428571429,0.0714285714285714
"vfzgboIAAAAJ&hl",11,2,0.0909090909090909,0.0909090909090909,0.272727272727273,0.181818181818182,0
"Qr2GK_gAAAAJ&hl",11,2.33333333333333,0.181818181818182,0,0.818181818181818,0.0909090909090909,0
"C7kZez0AAAAJ&hl",7,1.33333333333333,0,0.285714285714286,0.142857142857143,0.571428571428571,0
"LSu3etEAAAAJ&hl",38,4.83333333333333,0.0526315789473684,0.236842105263158,0.394736842105263,0.447368421052632,0.0263157894736842
"T10JETQAAAAJ&hl",20,2.14285714285714,0.1,0.15,0.4,0.4,0
"JYmAww4AAAAJ&hl",16,2,0.125,0.125,0.375,0.5,0
"IPahMCwAAAAJ&hl",9,1,0,0.111111111111111,0.222222222222222,0,0
"nuv_BikAAAAJ&hl",25,3.33333333333333,0.08,0.36,0.4,0.56,0
"mmpGjhYAAAAJ&hl",22,3.2,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.590909090909091,0
"1wWNpjIAAAAJ&hl",8,1.25,0.25,0,0.25,0.25,0
"Lz9jsyYAAAAJ&hl",5,2,0,0.2,0.8,0,0
"xjXoGg8AAAAJ&hl",5,1,0,0,0.4,0.4,0.4
"i6cFQUQAAAAJ&hl",10,1,0,0.1,0.5,0.3,0
"wfaBq8QAAAAJ&hl",5,1,0,0.2,0.6,0.4,0
"TPA0I3gAAAAJ&hl",10,1.2,0,0,1,0.1,0
"JL4JnZAAAAAJ&hl",24,2.57142857142857,0,0,0.541666666666667,0.333333333333333,0
"2WT427AAAAAJ&hl",53,6.57142857142857,0.0188679245283019,0.245283018867925,0.207547169811321,0.566037735849057,0.150943396226415
"Sh3ZdAYAAAAJ&hl",16,2.6,0.125,0.0625,0.375,0.6875,0.0625
"Vyp21-AAAAAJ&hl",15,2.25,0.2,0.466666666666667,0.0666666666666667,0.733333333333333,0.333333333333333
"38PlhkcAAAAJ&hl",13,2.25,0.230769230769231,0.153846153846154,0.461538461538462,0.307692307692308,0.0769230769230769
"1EIGDgUAAAAJ&hl",33,4,0,0.0606060606060606,0.212121212121212,0.333333333333333,0.0606060606060606
"2qcKz6IAAAAJ&hl",8,1,0,0,0.625,0.375,0
"lbXxImoAAAAJ&hl",39,3.85714285714286,0.0769230769230769,0,0.512820512820513,0.512820512820513,0.0256410256410256
"J4Ot_OQAAAAJ&hl",17,3.25,0.0588235294117647,0.0588235294117647,0.352941176470588,0.588235294117647,0.0588235294117647
"8Mv9l1oAAAAJ&hl",21,2.66666666666667,0.285714285714286,0,0.142857142857143,0.142857142857143,0
"nNQSvU8AAAAJ&hl",37,5.2,0.162162162162162,0.162162162162162,0.162162162162162,0.621621621621622,0.027027027027027
"hhjBbQQAAAAJ&hl",16,2,0.0625,0.1875,0.1875,0.6875,0.0625
"vKYRi6oAAAAJ&hl",5,2,0,0,1,0,0
"6fKH7QcAAAAJ&hl",8,3,0.125,0.125,0.25,0.375,0.125
"xSmH84MAAAAJ&hl",30,4,0.0666666666666667,0.133333333333333,0,0.233333333333333,0.133333333333333
"szZQ6e8AAAAJ&hl",13,2,0.0769230769230769,0.307692307692308,0.307692307692308,0.307692307692308,0.307692307692308
"Q87VW00AAAAJ&hl",22,4.75,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.136363636363636,0
"xEDSLC8AAAAJ&hl",4,1,0,0,0,0,0
"snRPOMkAAAAJ&hl",36,4.83333333333333,0.111111111111111,0.0277777777777778,0,0.111111111111111,0.0277777777777778
"Fp3PhoUAAAAJ&hl",46,7.2,0.0434782608695652,0.304347826086957,0.130434782608696,0.826086956521739,0.347826086956522
"axX7C-YAAAAJ&hl",42,4.71428571428571,0.0952380952380952,0.19047619047619,0.0238095238095238,0.428571428571429,0.19047619047619
"z0CgBmAAAAAJ&hl",11,2.66666666666667,0,0.272727272727273,0.0909090909090909,0.636363636363636,0.272727272727273
"Awhfu_oAAAAJ&hl",10,1.66666666666667,0,0.1,0.2,0.4,0.1
"jNHwb9MAAAAJ&hl",29,4.2,0,0,0.586206896551724,0.413793103448276,0.0344827586206897
"VkNDVlQAAAAJ&hl",14,2,0,0,0.357142857142857,0.357142857142857,0
"zlWMNqUAAAAJ&hl",17,3,0,0.117647058823529,0.529411764705882,0.647058823529412,0.0588235294117647
"tsAWW8wAAAAJ&hl",12,3,0,0.0833333333333333,0.25,0.25,0.0833333333333333
"uEZ-OWMAAAAJ&hl",12,3.33333333333333,0.0833333333333333,0,0.5,0,0
"ijZ34GIAAAAJ&hl",18,2,0,0.333333333333333,0.0555555555555556,0.888888888888889,0.277777777777778
"WNn4ZHwAAAAJ&hl",7,1,0,0,0,0.142857142857143,0
"lj8B93EAAAAJ&hl",4,1,0,0,0,0,0
"Lb_OSsMAAAAJ&hl",16,2.2,0.1875,0.0625,0,0.5625,0.125
"olFMo5AAAAAJ&hl",5,0.75,0,0.2,0,0.4,0.2
"ntPlxu4AAAAJ&hl",6,2,0,0.5,0,0.666666666666667,0.5
"iVnSsDUAAAAJ&hl",8,0.833333333333333,0,0.25,0.375,0.5,0.375
"DghN-sAAAAAJ&hl",9,1.66666666666667,0,0.222222222222222,0,0.222222222222222,0.222222222222222
"_Rg-K3YAAAAJ&hl",14,2.5,0,0.142857142857143,0,0.214285714285714,0.142857142857143
"HxflJEMAAAAJ&hl",18,2,0,0,0.111111111111111,0.666666666666667,0
"hARxspUAAAAJ&hl",10,1.33333333333333,0.1,0.1,0.2,0.2,0.1
"4DQIU04AAAAJ&hl",18,3,0,0.0555555555555556,0.277777777777778,0.166666666666667,0.0555555555555556
"xkmEqiUAAAAJ&hl",16,1.85714285714286,0,0.0625,0.3125,0.5,0.0625
"egydTKkAAAAJ&hl",11,1.28571428571429,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.727272727272727,0.0909090909090909
"FSZ8BXUAAAAJ&hl",11,1,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909
"_VcaJosAAAAJ&hl",14,3,0,0.142857142857143,0,0.428571428571429,0.0714285714285714
"qhR2XVsAAAAJ&hl",10,2,0,0.1,0,0.2,0.2
"_1wlIj4AAAAJ&hl",28,4.16666666666667,0.107142857142857,0.107142857142857,0.0357142857142857,0.5,0.107142857142857
"ns1yEJoMs-wC&hl",8,0.666666666666667,0,0.25,0.5,0.375,0.25
"gpXP2nUAAAAJ&hl",11,1.5,0.272727272727273,0,0.0909090909090909,0.0909090909090909,0
"cz08FDkAAAAJ&hl",14,2.33333333333333,0.0714285714285714,0,0.0714285714285714,0,0
"JNqy90sAAAAJ&hl",4,1,0,0.25,0.25,0.5,0.25
"JcdL044AAAAJ&hl",7,1.5,0,0,0.285714285714286,0.285714285714286,0.142857142857143
"94JgNKAAAAAJ&hl",8,1.5,0,0.125,0.125,0.375,0.125
"m9pAN7MAAAAJ&hl",7,1,0,0,0,0.428571428571429,0
"fAorsowAAAAJ&hl",10,1.25,0.2,0.2,0.1,0.4,0.3
"1G9xkjQAAAAJ&hl",9,2,0.111111111111111,0.111111111111111,0,0.444444444444444,0
"qoL9ZjEAAAAJ&hl",5,0.6,0,0,0,0.2,0
"iJ9nohMAAAAJ&hl",10,3.5,0,0,0.1,0.2,0
"99fNsg0AAAAJ&hl",16,2.33333333333333,0,0.0625,0.25,0.25,0.0625
